utc,node_index,expected_answer,rerun_answer,seconds,fixed_signature,reason,mismatch
2026-05-02T20:41:08+00:00,4974,unsat,unsat,0.343,"12=0,13=1,14=1,15=1,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:10+00:00,4975,unsat,unsat,1.944,"12=1,13=1,14=1,15=1,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:10+00:00,4976,unsat,unsat,0.206,"12=2,13=1,14=1,15=1,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:11+00:00,4977,unsat,unsat,0.731,"12=0,13=2,14=1,15=1,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:11+00:00,4978,unsat,unsat,0.399,"12=1,13=2,14=1,15=1,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:12+00:00,4979,unsat,unsat,0.589,"12=2,13=2,14=1,15=1,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:14+00:00,4980,unsat,unsat,1.707,"12=0,13=0,14=2,15=1,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:16+00:00,4981,unsat,unsat,2.846,"12=1,13=0,14=2,15=1,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:18+00:00,4982,unsat,unsat,1.554,"12=2,13=0,14=2,15=1,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:21+00:00,4983,unsat,unsat,2.485,"12=0,13=1,14=2,15=1,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:25+00:00,4984,unsat,unsat,4.469,"12=1,13=1,14=2,15=1,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:27+00:00,4985,unsat,unsat,1.642,"12=2,13=1,14=2,15=1,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:28+00:00,4986,unsat,unsat,1.756,"12=0,13=2,14=2,15=1,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:28+00:00,4987,unsat,unsat,0.061,"12=1,13=2,14=2,15=1,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:29+00:00,4988,unsat,unsat,0.956,"12=2,13=2,14=2,15=1,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:29+00:00,4989,unsat,unsat,0.048,"12=0,13=0,14=0,15=2,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:29+00:00,4990,unsat,unsat,0.017,"12=1,13=0,14=0,15=2,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:30+00:00,4991,unsat,unsat,0.014,"12=2,13=0,14=0,15=2,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:30+00:00,4992,unsat,unsat,0.233,"12=0,13=1,14=0,15=2,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:30+00:00,4993,unsat,unsat,0.309,"12=1,13=1,14=0,15=2,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:31+00:00,4994,unsat,unsat,0.945,"12=2,13=1,14=0,15=2,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:31+00:00,4995,unsat,unsat,0.128,"12=0,13=2,14=0,15=2,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:31+00:00,4996,unsat,unsat,0.206,"12=1,13=2,14=0,15=2,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:32+00:00,4997,unsat,unsat,0.307,"12=2,13=2,14=0,15=2,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:32+00:00,4998,unsat,unsat,0.121,"12=0,13=0,14=1,15=2,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:32+00:00,4999,unsat,unsat,0.158,"12=1,13=0,14=1,15=2,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:32+00:00,5000,unsat,unsat,0.154,"12=2,13=0,14=1,15=2,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:32+00:00,5001,unsat,unsat,0.238,"12=0,13=1,14=1,15=2,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:33+00:00,5002,unsat,unsat,0.319,"12=1,13=1,14=1,15=2,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:33+00:00,5003,unsat,unsat,0.145,"12=2,13=1,14=1,15=2,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:33+00:00,5004,unsat,unsat,0.263,"12=0,13=2,14=1,15=2,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:33+00:00,5005,unsat,unsat,0.287,"12=1,13=2,14=1,15=2,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:34+00:00,5006,unsat,unsat,0.494,"12=2,13=2,14=1,15=2,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:34+00:00,5007,unsat,unsat,0.237,"12=0,13=0,14=2,15=2,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:34+00:00,5008,unsat,unsat,0.017,"12=1,13=0,14=2,15=2,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:34+00:00,5009,unsat,unsat,0.01,"12=2,13=0,14=2,15=2,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:35+00:00,5010,unsat,unsat,0.716,"12=0,13=1,14=2,15=2,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:36+00:00,5011,unsat,unsat,0.875,"12=1,13=1,14=2,15=2,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:37+00:00,5012,unsat,unsat,1.8,"12=2,13=1,14=2,15=2,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:38+00:00,5013,unsat,unsat,0.287,"12=0,13=2,14=2,15=2,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:38+00:00,5014,unsat,unsat,0.228,"12=1,13=2,14=2,15=2,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:38+00:00,5015,unsat,unsat,0.163,"12=2,13=2,14=2,15=2,16=1,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:38+00:00,5016,unsat,unsat,0.089,"12=0,13=0,14=0,15=0,16=2,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:38+00:00,5017,unsat,unsat,0.073,"12=1,13=0,14=0,15=0,16=2,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:38+00:00,5018,unsat,unsat,0.007,"12=2,13=0,14=0,15=0,16=2,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:38+00:00,5019,unsat,unsat,0.146,"12=0,13=1,14=0,15=0,16=2,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:39+00:00,5020,unsat,unsat,0.393,"12=1,13=1,14=0,15=0,16=2,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:39+00:00,5021,unsat,unsat,0.102,"12=2,13=1,14=0,15=0,16=2,17=2,18=0,19=2,20=0",,0
2026-05-02T20:41:50+00:00,5022,unsat,unsat,0.577,"12=0,13=2,14=0,15=0,16=2,17=2,18=0,19=2,20=0",,0
