center,radius,H_tot,count
affine_Hmin_assoc189_representative,2,-660,16
affine_Hmin_assoc189_representative,2,-648,6
affine_Hmin_assoc189_representative,2,-642,10
affine_Hmin_assoc189_representative,2,-636,13
affine_Hmin_assoc189_representative,2,-630,4
affine_Hmin_assoc189_representative,2,-624,8
affine_Hmin_assoc189_representative,2,-618,2
affine_Hmin_assoc189_representative,2,-612,2
affine_Hmin_assoc189_representative,2,-606,2
affine_Hmin_assoc189_representative,2,-600,8
affine_Hmin_assoc189_representative,2,-594,4
affine_Hmin_assoc189_representative,2,-588,6
affine_Hmin_assoc189_representative,2,-576,7
affine_Hmin_assoc189_representative,2,-570,8
affine_Hmin_assoc189_representative,2,-564,4
affine_Hmin_assoc189_representative,2,-558,4
affine_Hmin_assoc189_representative,2,-552,4
affine_Hmin_assoc189_representative,2,-546,4
affine_Hmin_assoc189_representative,2,-540,2
affine_Hmin_assoc189_representative,2,-534,2
affine_Hmin_assoc189_representative,2,-528,2
affine_Hmin_assoc189_representative,2,-522,2
affine_Hmin_assoc189_representative,2,-516,14
affine_Hmin_assoc189_representative,2,-504,2
affine_Hmin_assoc189_representative,2,-498,4
affine_Hmin_assoc189_representative,2,-492,2
affine_Hmin_assoc189_representative,2,-486,6
affine_Hmin_assoc189_representative,2,-480,8
affine_Hmin_assoc189_representative,2,-474,8
affine_Hmin_assoc189_representative,2,-468,5
affine_Hmin_assoc189_representative,2,-462,2
affine_Hmin_assoc189_representative,2,-456,6
affine_Hmin_assoc189_representative,2,-450,2
affine_Hmin_assoc189_representative,2,-444,4
affine_Hmin_assoc189_representative,2,-432,10
affine_Hmin_assoc189_representative,2,-426,2
affine_Hmin_assoc189_representative,2,-420,9
affine_Hmin_assoc189_representative,2,-414,6
affine_Hmin_assoc189_representative,2,-408,12
affine_Hmin_assoc189_representative,2,-402,2
affine_Hmin_assoc189_representative,2,-390,4
affine_Hmin_assoc189_representative,2,-378,8
affine_Hmin_assoc189_representative,2,-372,6
affine_Hmin_assoc189_representative,2,-366,4
affine_Hmin_assoc189_representative,2,-354,4
affine_Hmin_assoc189_representative,2,-348,2
affine_Hmin_assoc189_representative,2,-342,10
affine_Hmin_assoc189_representative,2,-330,6
affine_Hmin_assoc189_representative,2,-324,13
affine_Hmin_assoc189_representative,2,-318,4
affine_Hmin_assoc189_representative,2,-312,6
affine_Hmin_assoc189_representative,2,-300,8
affine_Hmin_assoc189_representative,2,-288,4
affine_Hmin_assoc189_representative,2,-282,4
affine_Hmin_assoc189_representative,2,-270,10
affine_Hmin_assoc189_representative,2,-264,4
affine_Hmin_assoc189_representative,2,-258,12
affine_Hmin_assoc189_representative,2,-252,2
affine_Hmin_assoc189_representative,2,-240,5
affine_Hmin_assoc189_representative,2,-234,2
affine_Hmin_assoc189_representative,2,-228,8
affine_Hmin_assoc189_representative,2,-222,2
affine_Hmin_assoc189_representative,2,-216,6
affine_Hmin_assoc189_representative,2,-210,2
affine_Hmin_assoc189_representative,2,-204,8
affine_Hmin_assoc189_representative,2,-192,6
affine_Hmin_assoc189_representative,2,-186,2
affine_Hmin_assoc189_representative,2,-180,10
affine_Hmin_assoc189_representative,2,-174,4
affine_Hmin_assoc189_representative,2,-168,4
affine_Hmin_assoc189_representative,2,-162,6
affine_Hmin_assoc189_representative,2,-156,4
affine_Hmin_assoc189_representative,2,-150,4
affine_Hmin_assoc189_representative,2,-144,10
affine_Hmin_assoc189_representative,2,-138,2
affine_Hmin_assoc189_representative,2,-132,4
affine_Hmin_assoc189_representative,2,-120,15
affine_Hmin_assoc189_representative,2,-114,6
affine_Hmin_assoc189_representative,2,-108,3
affine_Hmin_assoc189_representative,2,-102,4
affine_Hmin_assoc189_representative,2,-96,2
affine_Hmin_assoc189_representative,2,-90,4
affine_Hmin_assoc189_representative,2,-78,4
affine_Hmin_assoc189_representative,2,-72,6
affine_Hmin_assoc189_representative,2,-54,2
affine_Hmin_assoc189_representative,2,-48,4
affine_Hmin_assoc189_representative,2,-36,2
affine_Hmin_assoc189_representative,2,-30,4
affine_Hmin_assoc189_representative,2,-24,3
affine_Hmin_assoc189_representative,2,-12,4
affine_Hmin_assoc189_representative,2,-6,4
affine_Hmin_assoc189_representative,2,6,8
affine_Hmin_assoc189_representative,2,12,2
affine_Hmin_assoc189_representative,2,18,2
affine_Hmin_assoc189_representative,2,30,2
affine_Hmin_assoc189_representative,2,36,2
affine_Hmin_assoc189_representative,2,48,3
affine_Hmin_assoc189_representative,2,54,8
affine_Hmin_assoc189_representative,2,60,2
affine_Hmin_assoc189_representative,2,66,2
affine_Hmin_assoc189_representative,2,72,2
affine_Hmin_assoc189_representative,2,78,2
affine_Hmin_assoc189_representative,2,84,4
affine_Hmin_assoc189_representative,2,90,2
affine_Hmin_assoc189_representative,2,96,2
affine_Hmin_assoc189_representative,2,108,2
affine_Hmin_assoc189_representative,2,114,2
affine_Hmin_assoc189_representative,2,126,2
affine_Hmin_assoc189_representative,2,132,2
affine_Hmin_assoc189_representative,2,144,2
affine_Hmin_assoc189_representative,2,156,2
affine_Hmin_assoc189_representative,2,162,2
affine_Hmin_assoc189_representative,2,168,4
affine_Hmin_assoc189_representative,2,186,4
affine_Hmin_assoc189_representative,2,192,4
affine_Hmin_assoc189_representative,2,204,6
affine_Hmin_assoc189_representative,2,210,2
affine_Hmin_assoc189_representative,2,216,4
affine_Hmin_assoc189_representative,2,228,3
affine_Hmin_assoc189_representative,2,252,2
affine_Hmin_assoc189_representative,2,270,2
affine_Hmin_assoc189_representative,2,276,2
affine_Hmin_assoc189_representative,2,288,3
affine_Hmin_assoc189_representative,2,306,2
affine_Hmin_assoc189_representative,2,354,2
affine_Hmin_assoc189_representative,2,402,2
affine_Hmin_assoc189_representative,2,438,2
affine_Hmin_assoc189_representative,2,468,2
degree2_Hmax_representative,1,5688,1
degree2_Hmax_representative,1,5976,1
degree2_Hmax_representative,1,6102,1
degree2_Hmax_representative,1,6174,1
degree2_Hmax_representative,1,6180,1
degree2_Hmax_representative,1,6198,1
degree2_Hmax_representative,1,6228,1
degree2_Hmax_representative,1,6240,1
degree2_Hmax_representative,1,6300,1
degree2_Hmax_representative,1,6312,1
degree2_Hmax_representative,1,6354,1
degree2_Hmax_representative,1,6372,1
degree2_Hmax_representative,1,6402,1
degree2_Hmax_representative,1,6408,1
degree2_Hmax_representative,1,6456,1
degree2_Hmax_representative,1,6462,1
degree2_Hmax_representative,1,6480,1
degree2_Hmax_representative,1,6492,1
degree2_Hmax_representative,1,6504,1
degree2_Hmax_representative,1,6600,1
degree2_Hmax_representative,1,6606,1
degree2_Hmax_representative,1,6624,1
degree2_Hmax_representative,1,6642,1
degree2_Hmax_representative,1,6660,1
degree2_Hmax_representative,1,6672,1
degree2_Hmax_representative,1,6696,1
degree2_Hmax_representative,1,6714,1
degree2_Hmax_representative,1,6726,1
degree2_Hmax_representative,1,6738,1
degree2_Hmax_representative,1,6744,1
degree2_Hmax_representative,1,6798,1
degree2_Hmax_representative,1,6816,1
degree2_Hmax_representative,1,6846,3
degree2_Hmax_representative,1,6864,1
degree2_Hmax_representative,1,6876,2
degree2_Hmax_representative,1,6912,1
degree2_Hmax_representative,1,6924,1
degree2_Hmax_representative,1,7020,1
degree2_Hmax_representative,1,7302,1
degree2_Hmax_representative,2,4554,1
degree2_Hmax_representative,2,4620,1
degree2_Hmax_representative,2,4632,1
degree2_Hmax_representative,2,4668,1
degree2_Hmax_representative,2,4686,1
degree2_Hmax_representative,2,4716,1
degree2_Hmax_representative,2,4776,1
degree2_Hmax_representative,2,4794,1
degree2_Hmax_representative,2,4896,1
degree2_Hmax_representative,2,4914,1
degree2_Hmax_representative,2,4920,1
degree2_Hmax_representative,2,4944,1
