id,minimal_size,representative,function_signature_base9_on_M2,sha256_signature
120,7,(((x*x)*(x*y))*((x*y)*y)),021000000012000000012000000444345444444543444444345444888888678888888678888888768,60205c949490b3faa315ac86ffb1f25e5c768fc0d9ee4c743c9e1f0d1e47ed45
121,7,((((y*y)*x)*y)*((x*y)*x)),000333666211333666122333666111353777111444777111535777222555667222555776222555888,809b16d7aca6b04f21f4bdebc9f17d3e7cc8e919ee5411af4181f65b4fec3d26
122,7,(((y*x)*(x*x))*((y*x)*x)),000444888211444888122444888000353888000444888000535888000444667000444776000444888,db483ca44faf04e67874e55932cb27363290134a839d570e549585d1d1f63c44
123,7,((((y*x)*y)*x)*((y*x)*x)),021444888011444888022444888000343888000543888000545888000444668000444778000444768,cdd688cdad84cf67edcf21c8894591c6be0819defdc6f7f8cc55a409f5b6a66e
124,6,(((y*x)*x)*((y*y)*x)),021444888100444888200444888000434888000543888000454888000444886000444887000444768,a0fd7efe3995af6e80c8aed014b61407bfd4682226313cb12ff491319821c1e8
125,5,((((y*y)*y)*x)*x),021333666022333666011333666111545777111543777111343777222555778222555668222555768,4949a1ac6547f24356f6bc042ec15cd7b2fd38b49d1e1a5a8576ecee4098b5df
126,5,(((x*(y*x))*x)*x),012111222022222222011111111555545555333345555333343333777777778666666668666777678,4be90413d0603f565224259d9b1fe62bf5992ff5a83384815af718834ab279bb
127,5,((((x*y)*y)*x)*x),000111222222222222111111111555555555333444555333333333777777777666666666666777888,ef6838f4eb25b8b1a3ea5d9c21a4deed319411f840812812ae57e317b90762aa
128,5,((((x*x)*y)*x)*x),021111222022222222011111111555545555333543555333343333777777778666666668666777768,8044d9992428924b1cb7463059e07001689ccdcee044dc0d0eedb8e0a70c7101
129,6,((((x*x)*(x*y))*x)*x),012222111200222222100111111555454555555345333333434333777777887666666886777666678,b1a1f39d8f31afef13e73d61a2383dd6f48b72a64f5d7346069ceed2005c648d
130,6,((((x*x)*(y*x))*x)*x),012111222200222222100111111555454555333345555333434333777777887666666886666777678,a9b32f0c1aff40ab26cc535f7b4f5118129f5161c72269a3d9a715adbe5b89d8
131,6,(((((x*x)*y)*y)*x)*x),000111222000222222000111111555444555333444555333444333777777888666666888666777888,70ae86c44c6d3c87a0dac3caa9a1cd18e3b6309dcfa62149d4cfca0dc3b36c50
132,6,(((x*(y*x))*(x*x))*x),012111222200000000100000000444454444333345555444434444888888887888888886666777678,095977624d2fc0a9d790699710c4a293709754a7ff4b40858732c3608c4a06d9
133,6,((((x*y)*y)*(x*x))*x),000111222000000000000000000444444444333444555444444444888888888888888888666777888,4a647afaf6bb7c62133bb1527c7dc638727e8f70dadcdf2b8d09d6593ca1394c
134,6,((((x*x)*y)*(x*x))*x),021111222200000000100000000444454444333543555444434444888888887888888886666777768,ca9a834c19d2523df1f8991d49e6dca2f88ae50c70f5fc2edfff4bd256a0973e
135,7,((((x*x)*(y*x))*(x*x))*x),012111222022000000011000000444545444333345555444343444888888778888888668666777678,8e58b193b1d4ab2441a90d5cfb5c8f692c22dc915c16bfcdf3405b80edf39d16
136,7,(((((x*x)*y)*y)*(x*x))*x),000111222222000000111000000444555444333444555444333444888888777888888666666777888,b70049c76cd9f2949a300b3860e8afc00a943015c3b54316b70d92a85b2ce3b3
137,6,((((x*x)*y)*(x*y))*x),000000000000222222000111111555444555444444444333444333777777888666666888888888888,ed5afd10bac3c66b794ed5c72fc185034b36d1525530fac519ebeb6bf2afc51f
138,6,((((x*y)*y)*(x*y))*x),021000000200222222100111111555454555444543444333434333777777887666666886888888768,dfadd51c87f1ba5b80f5b110d55edb32f7810870975e373ff4c055cd60d2d784
139,7,(((((x*x)*y)*y)*(x*y))*x),021000000022222222011111111555545555444543444333343333777777778666666668888888768,a9a1244c49b071516c99eb144d183cd69ae9e1723a0bbc97b5f98374d36a1021
140,7,(((((x*x)*y)*(x*y))*x)*x),000000000222000000111000000444555444444444444444333444888888777888888666888888888,b5092ace3489fbf7f68d4048fc4748bacc293db2b6122358b454c532f5957899
141,7,(((((x*y)*y)*(x*y))*x)*x),012000000022000000011000000444545444444345444444343444888888778888888668888888678,d78e30990bdc9b4071092ca3fc150b2ac415c45af35d18fc030a9e746c377be5
142,7,((((x*y)*y)*(x*(y*x)))*x),012000000022222222011111111555545555444345444333343333777777778666666668888888678,f23c30ddfb527ca2150e8f502c3e438886e093856af847972f7560fc471a6919
143,8,((((((x*y)*y)*x)*(x*y))*x)*x),012000000200222222100111111555454555444345444333434333777777887666666886888888678,5f51a23a17e996c58d7c79be73d62f1ff41562b65d02fe3f0f224bec8ee3d4c9
144,5,((((y*x)*x)*y)*y),021533766021533766021533766121543767121543767121543767221553768221553768221553768,62c53ec0a3ba52eac522123e9ea5f8cb0e273b2c39dfb6034dd4d68ddfd65433
145,5,(((y*(x*y))*y)*y),000533766121533766221533766121533767121444767121553767221553766221553767221553888,a356fa5c39517869eb7f0dcfb3e3ce5bf1139f206c5400c97885615b8f1b8004
146,6,((((y*x)*(x*x))*y)*y),021533766100533766200533766121434767121543767121454767221553886221553887221553768,8782c6a40c120e63931301b6994cd7161fa43f55546c536d31f59f7986d2aa63
147,6,(((((y*x)*y)*x)*y)*y),000533766000533766000533766121444767121444767121444767221553888221553888221553888,c452899efc112107fc1b773b6734424fd39af96101adc33fe89f6884db333fe5
148,6,((((y*x)*(y*y))*y)*y),021553767100553767200553767221434766221543766221454766121533886121533887121533768,59e1b1987d62b7c9783b272abefd7f7fa84858a632c24347ad337d3c46a972b0
149,5,((((y*y)*x)*y)*y),000533766221533766121533766121553767121444767121533767221553767221553766221553888,2a1b7fe31041c03e7123542447308a35211144161cc83025490e833b10ee5dd7
150,6,((((y*x)*x)*(y*x))*y),021543768200543768100543768021454768021543768021434768021543887021543886021543768,e330943af1a1e19622d8f93af68d3fdc4a917cb1d3250fc6a03414f141ec873c
151,6,((((y*y)*x)*(y*x))*y),000543768000543768000543768021444768021444768021444768021543888021543888021543888,fa3b9f8ae4c429ce8b0386413d8b4adef0cb2bd5174c66e6a4273fd3e57a9efc
152,7,(((((y*x)*y)*x)*(y*x))*y),000543768221543768121543768021553768021444768021533768021543767021543766021543888,3b48ef658703ea7f8da19c76bf48f58f17bcff1828fda9667c477cf877be1ff8
153,6,((((y*x)*x)*(y*y))*y),000434886000434886000434886100444887100444887100444887200454888200454888200454888,21f3268da971a629b320948208d67a42a61efa6f0c24dd9fc7732e234eccfb9b
154,6,(((y*(x*y))*(y*y))*y),021434886100434886200434886100434887100543887100454887200454886200454887200454768,348fc0adb0267096e3c6348a06b1ed9d518ce64da27098a9540a4bd62bd7fa0c
155,7,((((y*x)*(x*x))*(y*y))*y),000434886121434886221434886100533887100444887100553887200454766200454767200454888,e1755d09bfa81a60aceaee3a6d7262132af513bf3a7aac516330820aa5df9a82
156,7,(((((y*x)*y)*x)*(y*y))*y),021434886021434886021434886100543887100543887100543887200454768200454768200454768,c8ca86aae1e5d7a0b980558538668572d9a8308362a8c170e280cbd4f60ad2d5
157,6,((((y*y)*x)*(y*y))*y),021434886200434886100434886100454887100543887100434887200454887200454886200454768,64fd98b4e4a007247eb207c3138cd9720ef8b8926de856c581c4886b935a6f6a
158,7,((((y*x)*x)*(y*(x*y)))*y),000543768121543768221543768021533768021444768021553768021543766021543767021543888,812aeffe6cb0dd6359413caeb52c1363d8d264ff040fce0a3870336549449fc1
159,7,(((((y*x)*x)*(y*x))*y)*y),000444888121444888221444888000533888000444888000553888000444766000444767000444888,c47934c115bc69489284c4b9e7e308b84afd2448d6c16d18067a7f736fff9faf
160,8,((((((y*x)*x)*y)*(y*x))*y)*y),021543768100543768200543768021434768021543768021454768021543886021543887021543768,c4c690e146e1137a6e67716e4479d51f67867e5636e422c08bc8a6203afca5d4
161,7,(((((y*y)*x)*(y*x))*y)*y),021444888021444888021444888000543888000543888000543888000444768000444768000444768,9f91e36631232547c7a25f483d5e8d4b5c0fd1afba4e777e94bae03fc9c4b5ac
162,6,((((x*y)*x)*x)*(x*x)),012222111100111111200222222333434333555345333555454555666666886777777887777666678,2d200adbc304eacd71013dfe732ec585e08b8f7d936b07e964822c41911005bd
163,6,(((x*(y*x))*x)*(x*x)),012111222100000000200000000444434444333345555444454444888888886888888887666777678,1e5f68345c2961351562994d72006e7691634efe4ab206a1492a3a206839d6e4
164,6,((x*((y*y)*y))*(x*x)),021222111100222111200222111555434333555543333555454333777666886777666887777666768,178aafe9f222fbafdf0fdea54eca9b44c823df7939224e0ffb4e165260194f9a
165,6,((((x*x)*y)*x)*(x*x)),021111222100000000200000000444434444333543555444454444888888886888888887666777768,1ae9d8155c7985abf515ba15d276e7371070309d653065d94ca909d1e1ccb33b
166,7,((((x*x)*(y*x))*x)*(x*x)),012111222011000000022000000444343444333345555444545444888888668888888778666777678,d1ad62ced063f1ad2490bc405298e2e3c2cf69558484d218e6dabb50013eef01
167,7,(((((x*x)*y)*y)*x)*(x*x)),000111222111000000222000000444333444333444555444555444888888666888888777666777888,0181ea79472049f65fff29645aac1a870b69a754e22a2473a29ed43541b87d4c
168,7,((x*(((y*y)*y)*x))*(x*x)),012222111011222111022222111555343333555345333555545333777666668777666778777666678,7754c3355580f4b1f5364bb9cf847e209782a71387f95bc983bb149afbdf4372
169,7,((((x*x)*y)*(y*y))*(x*x)),021222111021222111021222111555543333555543333555543333777666768777666768777666768,c4b9c80e7a9cb30d3f164290216407f40d256c27b3c65ebfff03985f7ae4ce51
170,7,((((x*y)*y)*(x*y))*(x*y)),000222111121222111221222111555533333555444333555553333777666766777666767777666888,44d96db8aea53f5c9b84b57316970fe21914539b79876582af089d35f93c0c14
171,7,((((x*y)*x)*(y*y))*(x*x)),012222111022222111011222111555545333555345333555343333777666778777666668777666678,69d6012e8a9a7e8e247b1e343f20184058ea295c2eba32b8abd5bfec792a76ea
172,7,((((x*x)*x)*(y*y))*(x*x)),000222111222222111111222111555555333555444333555333333777666777777666666777666888,6c637d05c72781bd9b55c004f11f3cc2c346a5756172b6c303350b73a84135bc
173,7,((((x*y)*x)*(x*y))*(x*x)),000000000222111222111111222333555555444444444333333555666777777666777666888888888,dcbe2b6398eccdaefccc3498977f77d72288d5cbeb61cca1920038aee29e4fa7
174,7,(((((x*y)*y)*x)*(x*y))*x),021000000022000000011000000444545444444543444444343444888888778888888668888888768,062aa414668d74cf8c5d927611be2198e7e75bd8a7203d565bbd4f598d1427b5
175,7,((((x*x)*y)*(y*x))*(x*x)),000222111221222111121222111555553333555444333555533333777666767777666766777666888,16992491de1ffcddc1e6d42bdffe4a1c42a9b0139076fbc43fbe04a4addbf4d9
176,7,((((x*x)*y)*(x*y))*(x*x)),000000000221000000121000000444553444444444444444533444888888767888888766888888888,d3db10d6d1f719184843fce7709fc503e115c9d8bd24addd66264450a30dfdcc
177,7,((((x*y)*y)*(x*y))*(x*x)),021000000021000000021000000444543444444543444444543444888888768888888768888888768,d8622852afb725bdd95b553279e283f5940ba5e780a40e0ff3cb019a0a04af6e
178,7,((((x*x)*x)*(y*x))*(x*x)),021222111022222111011222111555545333555543333555343333777666778777666668777666768,3192854466f14c5a565507a9c5fe7d9475dfb803b15b0169cbd96ee9c1ec8535
179,6,((((x*x)*x)*y)*(x*x)),012222111200222111100222111555454333555345333555434333777666887777666886777666678,c828fd82ef61769c9d812b96c472bf62b3195733d1a4cae3b219bf216bd4f115
180,8,(((((x*x)*y)*x)*(x*y))*(x*x)),000000000000111222000111222333444555444444444333444555666777888666777888888888888,4d9a6c92f07fc630ecc8f4d9636388e71b6fed5aaa9bd286eff49012e403514c
181,8,((((x*y)*x)*(x*(y*y)))*(x*x)),012000000200111222100111222333454555444345444333434555666777887666777886888888678,436b210d4b1de737a233426bf1a845a28f5c05f27d218e2c59abe2ba0ca72857
182,7,((((x*x)*x)*(x*y))*(x*y)),000000000122222111211222111555535333444444444555353333777666776777666667888888888,86ad6fb12d409bb704e18a08f96591f7fdb0edc7846a98522df5ac3e9a67cbc2
183,9,(((((x*x)*x)*y)*((x*y)*x))*(x*x)),000000000122111222211111222333535555444444444333353555666777776666777667888888888,d483c5de559983f55128d14e6fb2b379bbd2ae5560a9484791881a703e661100
184,9,(((((x*x)*y)*x)*(x*(y*y)))*(x*x)),012000000022111222011111222333545555444345444333343555666777778666777668888888678,d250c0b63c361224ae2c41b25199554fd8c975d0d30c0ca5ad1fdfc000f9f3f4
